epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.4909,1.63359,3.01546,1.34104,0.68499,0.40346,0.44884,0.25076,1.41417,1.3999,1.25563,0.00018399,0.00018399,0.00018399
2,112.276,1.32192,1.67943,1.13047,0.69148,0.75542,0.74576,0.43999,1.28888,0.93347,1.16576,0.000366277,0.000366277,0.000366277
3,177.408,1.24924,1.28175,1.11063,0.8333,0.80072,0.83861,0.53456,1.20508,0.81802,1.12809,0.000545505,0.000545505,0.000545505
4,198.478,1.22632,1.12308,1.09457,0.89732,0.8038,0.86104,0.54993,1.17538,0.74129,1.11463,0.000542239,0.000542239,0.000542239
5,242.579,1.19877,1.03087,1.08202,0.87773,0.86569,0.87797,0.56412,1.19782,0.73056,1.10323,0.000537652,0.000537652,0.000537652
6,297.704,1.16814,0.93472,1.06647,0.942,0.86341,0.88614,0.59019,1.14853,0.68082,1.08811,0.000533065,0.000533065,0.000533065
7,355.544,1.16943,0.8843,1.06727,0.94332,0.87312,0.89448,0.58317,1.1337,0.65316,1.07428,0.000528478,0.000528478,0.000528478
8,416.613,1.13743,0.83561,1.06007,0.90022,0.87294,0.88284,0.59016,1.12331,0.65053,1.07306,0.000523891,0.000523891,0.000523891
9,468.085,1.132,0.78221,1.04866,0.95133,0.89479,0.89904,0.59389,1.14389,0.63692,1.08908,0.000519304,0.000519304,0.000519304
10,504.094,1.12728,0.76156,1.04717,0.93769,0.88764,0.89518,0.60036,1.12629,0.62912,1.08307,0.000514717,0.000514717,0.000514717
11,546.044,1.1097,0.72442,1.04295,0.94683,0.90147,0.90144,0.59706,1.08631,0.63149,1.07473,0.00051013,0.00051013,0.00051013
12,580.407,1.06996,0.71412,1.02047,0.96048,0.89119,0.89796,0.59391,1.14338,0.62455,1.08406,0.000505543,0.000505543,0.000505543
13,616.097,1.10329,0.69691,1.04142,0.943,0.89403,0.90153,0.60307,1.09322,0.59282,1.06876,0.000500956,0.000500956,0.000500956
14,663.383,1.07119,0.66993,1.03192,0.95998,0.89428,0.90668,0.60659,1.08887,0.59469,1.06179,0.000496369,0.000496369,0.000496369
15,745.672,1.06598,0.65357,1.03375,0.95654,0.90015,0.90542,0.61716,1.07921,0.56534,1.05735,0.000491782,0.000491782,0.000491782
16,797.256,1.08083,0.64372,1.02974,0.96805,0.91139,0.90911,0.60145,1.11956,0.57183,1.0643,0.000487195,0.000487195,0.000487195
17,848.053,1.05411,0.62469,1.02046,0.96243,0.90578,0.90811,0.61601,1.09067,0.56243,1.06641,0.000482608,0.000482608,0.000482608
18,896.298,1.04636,0.62634,1.00784,0.97027,0.89776,0.90858,0.62129,1.08216,0.56021,1.06856,0.000478021,0.000478021,0.000478021
19,942.87,1.03666,0.60981,1.01026,0.95713,0.90374,0.91607,0.62937,1.07856,0.55085,1.05582,0.000473434,0.000473434,0.000473434
20,991.958,1.04853,0.61328,1.01981,0.89542,0.90025,0.9128,0.62712,1.06746,0.56819,1.05315,0.000468847,0.000468847,0.000468847
21,1039.17,1.03279,0.5907,1.01637,0.96459,0.90922,0.9118,0.623,1.06722,0.53085,1.05625,0.00046426,0.00046426,0.00046426
22,1084.01,1.04453,0.59479,1.0195,0.96415,0.90785,0.90637,0.62672,1.04158,0.52989,1.04776,0.000459673,0.000459673,0.000459673
23,1134.96,1.03057,0.57739,1.01706,0.96907,0.90904,0.91017,0.62358,1.06213,0.53735,1.05243,0.000455086,0.000455086,0.000455086
24,1165.62,1.0102,0.58809,1.00527,0.9647,0.9081,0.9083,0.61708,1.05035,0.52345,1.04776,0.000450499,0.000450499,0.000450499
25,1184.09,1.03231,0.57448,1.0182,0.97528,0.90607,0.90589,0.61958,1.05008,0.52806,1.05019,0.000445912,0.000445912,0.000445912
26,1202.26,1.0468,0.5733,1.01857,0.97167,0.90575,0.9107,0.62743,1.07184,0.52558,1.05165,0.000441325,0.000441325,0.000441325
27,1241.34,1.01624,0.57235,1.00998,0.97315,0.89996,0.90582,0.62247,1.08082,0.51919,1.06453,0.000436738,0.000436738,0.000436738
28,1272.78,1.01951,0.55448,1.01126,0.88469,0.94772,0.91209,0.61627,1.07289,0.51679,1.05984,0.000432151,0.000432151,0.000432151
29,1292.64,1.00439,0.54718,1.00684,0.9693,0.90738,0.90744,0.62579,1.05335,0.52554,1.04267,0.000427564,0.000427564,0.000427564
30,1312.56,0.99834,0.54107,1.00406,0.9783,0.91386,0.92016,0.63939,1.03401,0.49117,1.04486,0.000422977,0.000422977,0.000422977
31,1332.15,0.98887,0.53818,0.99948,0.92596,0.9498,0.92706,0.63975,1.05488,0.51061,1.05292,0.00041839,0.00041839,0.00041839
32,1351.77,0.99432,0.53571,0.99604,0.97031,0.90774,0.91333,0.63229,1.03677,0.51447,1.04607,0.000413803,0.000413803,0.000413803
33,1371.51,0.98853,0.53038,1.00326,0.97226,0.91165,0.91458,0.63677,1.03461,0.49299,1.04279,0.000409216,0.000409216,0.000409216
34,1391.56,1.00028,0.53312,1.00553,0.96616,0.90021,0.90101,0.62382,1.05532,0.50255,1.0501,0.000404629,0.000404629,0.000404629
35,1410.03,0.99729,0.53373,1.00368,0.96893,0.91089,0.90901,0.62543,1.03578,0.5033,1.04301,0.000400042,0.000400042,0.000400042
36,1429.35,0.97662,0.52001,0.99414,0.97387,0.91169,0.91235,0.63634,1.04201,0.4961,1.04569,0.000395455,0.000395455,0.000395455
37,1446.84,0.98062,0.52181,0.99906,0.91936,0.94892,0.94197,0.65011,1.04889,0.4897,1.04985,0.000390868,0.000390868,0.000390868
38,1463.81,0.97727,0.5157,1.00357,0.97507,0.90871,0.92553,0.6503,1.03014,0.48751,1.04554,0.000386281,0.000386281,0.000386281
39,1478.47,0.97709,0.51592,0.99525,0.97312,0.9099,0.92468,0.64733,1.04877,0.48748,1.04899,0.000381694,0.000381694,0.000381694
40,1493.27,0.97317,0.51555,0.99715,0.93102,0.94713,0.92741,0.6501,1.03891,0.48295,1.04426,0.000377107,0.000377107,0.000377107
41,1508.11,0.96971,0.51356,0.99681,0.93217,0.94374,0.93819,0.65144,1.03028,0.47934,1.04875,0.00037252,0.00037252,0.00037252
42,1522.68,0.97268,0.5127,0.99368,0.97057,0.90881,0.9445,0.6568,1.04271,0.48438,1.05027,0.000367933,0.000367933,0.000367933
43,1537.51,0.95131,0.49839,0.99097,0.90421,0.94534,0.92829,0.64224,1.04558,0.476,1.0538,0.000363346,0.000363346,0.000363346
44,1552,0.9561,0.50204,0.98914,0.95939,0.94159,0.94362,0.66515,1.01301,0.46758,1.04085,0.000358759,0.000358759,0.000358759
45,1566.49,0.94507,0.49762,0.98966,0.98017,0.91262,0.94538,0.6612,1.02071,0.46479,1.04308,0.000354172,0.000354172,0.000354172
46,1580.77,0.94495,0.49039,0.98676,0.97715,0.91231,0.915,0.6451,1.03095,0.46964,1.04667,0.000349585,0.000349585,0.000349585
47,1595.04,0.94787,0.48815,0.98791,0.94759,0.9408,0.94763,0.66195,1.02545,0.46636,1.04627,0.000344998,0.000344998,0.000344998
48,1609.4,0.93958,0.48948,0.98007,0.92506,0.9463,0.94097,0.66016,1.02895,0.47766,1.04255,0.000340411,0.000340411,0.000340411
49,1623.84,0.93682,0.48606,0.98778,0.97723,0.91107,0.92489,0.64735,1.03663,0.46528,1.03951,0.000335824,0.000335824,0.000335824
50,1638.29,0.94462,0.48592,0.98759,0.96696,0.94512,0.9481,0.66594,1.02615,0.45904,1.04077,0.000331237,0.000331237,0.000331237
51,1652.73,0.95346,0.48819,0.98878,0.97391,0.94551,0.94759,0.66614,1.05046,0.46417,1.04814,0.00032665,0.00032665,0.00032665
52,1667.46,0.93107,0.47838,0.98363,0.97195,0.94461,0.94357,0.66716,1.01606,0.46272,1.04271,0.000322063,0.000322063,0.000322063
53,1681.99,0.93565,0.48425,0.98875,0.95979,0.94481,0.94566,0.67123,1.01614,0.45959,1.04436,0.000317476,0.000317476,0.000317476
54,1696.68,0.93115,0.48119,0.98603,0.96409,0.94299,0.94733,0.66964,1.01691,0.45707,1.04015,0.000312889,0.000312889,0.000312889
55,1711.44,0.93448,0.47794,0.98429,0.97024,0.94291,0.94414,0.66591,1.0328,0.45872,1.04459,0.000308302,0.000308302,0.000308302
56,1725.91,0.91669,0.47,0.97403,0.91999,0.95069,0.93003,0.66191,1.0108,0.4468,1.03743,0.000303715,0.000303715,0.000303715
57,1740.51,0.92555,0.47193,0.98231,0.95677,0.94167,0.94363,0.66636,1.01218,0.45347,1.04306,0.000299128,0.000299128,0.000299128
58,1755.02,0.91749,0.46766,0.98457,0.97794,0.91437,0.92971,0.65515,1.01148,0.44919,1.03962,0.000294541,0.000294541,0.000294541
59,1769.7,0.91066,0.46597,0.97808,0.96319,0.94521,0.94761,0.67348,1.0133,0.45363,1.03747,0.000289954,0.000289954,0.000289954
60,1784.29,0.92146,0.47223,0.98319,0.95681,0.94473,0.94275,0.67393,1.00149,0.44588,1.0376,0.000285367,0.000285367,0.000285367
61,1799.65,0.91768,0.46779,0.98032,0.96232,0.94279,0.94504,0.67443,1.01366,0.45176,1.03912,0.00028078,0.00028078,0.00028078
62,1814.96,0.90532,0.46243,0.97542,0.95262,0.94214,0.94737,0.67032,1.01763,0.44911,1.04564,0.000276193,0.000276193,0.000276193
63,1829.8,0.89735,0.4584,0.97637,0.95523,0.94319,0.94587,0.66403,1.02356,0.44895,1.04535,0.000271606,0.000271606,0.000271606
64,1845.57,0.90422,0.46108,0.97016,0.96162,0.94331,0.94739,0.66821,1.00803,0.45283,1.04031,0.000267019,0.000267019,0.000267019
65,1861.02,0.90473,0.45967,0.97294,0.96759,0.941,0.94704,0.66592,1.0195,0.44974,1.04185,0.000262432,0.000262432,0.000262432
66,1876.68,0.89016,0.45428,0.97128,0.95601,0.94319,0.94196,0.66766,1.00934,0.44566,1.0468,0.000257845,0.000257845,0.000257845
67,1892.04,0.89261,0.45082,0.96983,0.96241,0.94316,0.94958,0.67502,1.01018,0.44281,1.04331,0.000253258,0.000253258,0.000253258
68,1907.61,0.88955,0.45268,0.97207,0.96393,0.94893,0.94313,0.66834,0.99739,0.43879,1.03687,0.000248671,0.000248671,0.000248671
69,1923.07,0.88939,0.45411,0.969,0.94525,0.94357,0.94786,0.67513,1.00215,0.44135,1.03971,0.000244084,0.000244084,0.000244084
70,1938.28,0.87028,0.44455,0.95849,0.95601,0.94412,0.94366,0.67257,1.0021,0.4392,1.03358,0.000239497,0.000239497,0.000239497
71,1953.36,0.87858,0.44604,0.96913,0.96367,0.94601,0.94561,0.66929,0.99584,0.43916,1.03804,0.00023491,0.00023491,0.00023491
72,1968.52,0.87998,0.44781,0.96651,0.95816,0.94146,0.94508,0.67222,1.00013,0.43426,1.03698,0.000230323,0.000230323,0.000230323
73,1983.98,0.88851,0.44719,0.97308,0.96497,0.94344,0.94629,0.6696,1.00931,0.44254,1.04063,0.000225736,0.000225736,0.000225736
74,1999.77,0.87487,0.44478,0.96978,0.97472,0.94752,0.94588,0.66962,1.00238,0.43821,1.03873,0.000221149,0.000221149,0.000221149
75,2015.43,0.88382,0.44609,0.96716,0.96669,0.94582,0.9463,0.67552,1.00712,0.43694,1.0401,0.000216562,0.000216562,0.000216562
76,2031.04,0.87511,0.44464,0.96596,0.96325,0.94834,0.94585,0.67876,0.99365,0.43427,1.0394,0.000211975,0.000211975,0.000211975
77,2046.74,0.86232,0.4335,0.96169,0.96935,0.94594,0.94696,0.67633,0.99646,0.43338,1.04096,0.000207388,0.000207388,0.000207388
78,2062.28,0.87479,0.44333,0.96271,0.96479,0.9478,0.94523,0.66901,1.01304,0.44201,1.04228,0.000202801,0.000202801,0.000202801
79,2077.91,0.85664,0.4371,0.95401,0.96587,0.94512,0.94589,0.67144,1.00316,0.43213,1.04349,0.000198214,0.000198214,0.000198214
80,2093.33,0.86344,0.43769,0.96521,0.9669,0.94398,0.9461,0.67234,1.004,0.43381,1.04058,0.000193627,0.000193627,0.000193627
81,2108.67,0.86255,0.43746,0.96062,0.96066,0.94325,0.94438,0.66916,0.99904,0.43062,1.04121,0.00018904,0.00018904,0.00018904
82,2124.18,0.85872,0.43419,0.95826,0.97124,0.95055,0.94522,0.67216,1.00562,0.43102,1.04373,0.000184453,0.000184453,0.000184453
83,2139.4,0.84998,0.43041,0.96031,0.96725,0.94524,0.94489,0.67609,0.99453,0.43256,1.03731,0.000179866,0.000179866,0.000179866
84,2153.92,0.8448,0.42892,0.95612,0.96526,0.94255,0.94621,0.67121,1.00366,0.43245,1.04168,0.000175279,0.000175279,0.000175279
85,2168.39,0.83941,0.45095,0.95012,0.97528,0.94467,0.94563,0.67556,0.99576,0.42978,1.03869,0.000170692,0.000170692,0.000170692
86,2182.77,0.84301,0.42503,0.95413,0.9665,0.94578,0.94622,0.67316,0.99672,0.43015,1.03954,0.000166105,0.000166105,0.000166105
87,2197.39,0.83822,0.42624,0.95302,0.96477,0.94872,0.94487,0.67032,1.00803,0.43019,1.04167,0.000161518,0.000161518,0.000161518
88,2212.09,0.8304,0.42332,0.94973,0.96395,0.94458,0.94594,0.67941,0.99726,0.42674,1.03869,0.000156931,0.000156931,0.000156931
89,2227.68,0.83267,0.42426,0.95107,0.96935,0.94468,0.94574,0.67067,1.00527,0.43097,1.04616,0.000152344,0.000152344,0.000152344
90,2243.45,0.84944,0.42581,0.95648,0.96365,0.94727,0.94593,0.67424,0.99566,0.42419,1.04328,0.000147757,0.000147757,0.000147757
